page,brand,model,category,size,space,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
4,XIAOMI,Redmi Note 13 Pro+ 5G ,Smartphone,6.67,256 GB,Midnight Black,381.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220882.html,new,2024-04-06,2220882,(0),,Auslieferung in 1-2 Werktagen
4,XIAOMI,Redmi Note 13 4G ,Smartphone,6.67,128 GB,Mint Green,173.9,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220886.html,new,2024-04-06,2220886,(3),4.7,Auslieferung in bis zu 7 Werktagen
4,GOOGLE,Pixel 8 Pro ,Smartphone,6.7,128 GB,Obsidian,921.,https://www.mediamarkt.ch/de/product/_google-pixel-8-pro-2214719.html,new,2024-04-06,2214719,(11),4.5,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
4,SAMSUNG,XCover6 Pro Enterprise Edition ,Smartphone,6.6,128 GB,Schwarz,417.95,https://www.mediamarkt.ch/de/product/_samsung-xcover6-pro-enterprise-edition-2140676.html,new,2024-04-06,2140676,(2),3.0,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
4,SAMSUNG,Galaxy S23 ,Smartphone,6.1,256 GB,Phantom Black,661.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167365.html,new,2024-04-06,2167365,(273),4.4,Auslieferung in 1-2 Werktagen
4,SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,128 GB,Awesome Lilac,429.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237051.html,new,2024-04-06,2237051,(0),,Auslieferung in 1-2 Werktagen
4,SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,128 GB,Awesome Lilac,359.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237047.html,new,2024-04-06,2237047,(0),,
4,SAMSUNG,Galaxy A54 5G ,Smartphone,6.4,256 GB,Awesome Violet,439.9,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2177750.html,new,2024-04-06,2177750,(308),4.4,Auslieferung in 1-4 Werktagen
4,SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,128 GB,Awesome Navy,359.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237046.html,new,2024-04-06,2237046,(0),,
4,DORO,6820 ,Klapphandy,,,DORO 6820 - Klapphandy (Rot/Weiss,84.95,https://www.mediamarkt.ch/de/product/_doro-6820-2119154.html,new,2024-04-06,2119154,(1),3.0,Auslieferung in bis zu 7 Werktagen
4,FAIRPHONE,5 5G ,Smartphone,6.46,256 GB,Transparent Edition,606.,https://www.mediamarkt.ch/de/product/_fairphone-5-5g-2195008.html,new,2024-04-06,2195008,(4),4.8,Auslieferung in 1-2 Werktagen
5,APPLE,iPhone 14 Plus ,Smartphone,6.7,256 GB,Purple,829.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151047.html,new,2024-04-06,2151047,(2),5.0,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
5,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,1 TB,White Titanium,1546.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203439.html,new,2024-04-06,2203439,(2),5.0,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
5,SAMSUNG,Galaxy S23+ ,Smartphone,6.6,256 GB,Green,729.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167371.html,new,2024-04-06,2167371,(154),4.6,"Bestellbar, Auslieferung in 1-2 Werktagen"
5,APPLE,iPhone SE (2022) ,Smartphone,4.7,64 GB,"64 GB, (PRODUCT)RED",383.95,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118899.html,new,2024-04-06,2118899,(3),5.0,Auslieferung in bis zu 6 Werktagen
5,APPLE,iPhone 13 ,Smartphone,6.1,256 GB,Green,629.,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2118878.html,new,2024-04-06,2118878,(1),5.0,Auslieferung in 1-4 Werktagen
5,APPLE,iPhone 12 ,Smartphone,6.1,64 GB,Black,479.9,https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028624.html,new,2024-04-06,2028624,(19),4.5,Auslieferung in 1-2 Werktagen
5,SAMSUNG,Galaxy S23 ,Smartphone,6.1,128 GB,Green,619.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167347.html,new,2024-04-06,2167347,(270),4.4,"Bestellbar, Auslieferung in 1-2 Werktagen"
5,SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,512 GB,Titanium Violet,1399.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220735.html,new,2024-04-06,2220735,(714),4.7,Auslieferung in 1-2 Werktagen
5,SAMSUNG,Galaxy S23 Ultra ,Smartphone,6.8,512 GB,Green,987.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167389.html,new,2024-04-06,2167389,(613),4.6,Auslieferung in 1-2 Werktagen
5,SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,512 GB,Titanium Yellow,1399.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220736.html,new,2024-04-06,2220736,(714),4.7,Auslieferung in bis zu 7 Werktagen
5,SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,512 GB,Titanium Grey,1399.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220734.html,new,2024-04-06,2220734,(714),4.7,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
5,SAMSUNG,Galaxy S24+ ,Smartphone,6.7,512 GB,Onyx Black,1149.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220715.html,new,2024-04-06,2220715,(161),4.4,Auslieferung in bis zu 6 Werktagen
5,SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,1 TB,Titanium Grey,1599.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220714.html,new,2024-04-06,2220714,(714),4.7,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
5,SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,128 GB,Awesome Iceblue,359.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237045.html,new,2024-04-06,2237045,(0),,
