page,brand,model,category,size,storage,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
2,apple,iphone 15 pro,Smartphone,6.1,128,white,948.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203404.html,new,2024-04-07,2203404.0,10,4.9,2.0
2,apple,iphone 15 pro max,Smartphone,6.7,256,blue,1145.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203430.html,new,2024-04-07,2203430.0,15,4.9,2.0
2,apple,iphone 15 pro max,Smartphone,6.7,512,titanium,1361.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203433.html,new,2024-04-07,2203433.0,6,5.0,
2,apple,iphone 14,Smartphone,6.1,128,blue,619.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151029.html,new,2024-04-07,2151029.0,12,4.8,2.0
2,apple,iphone 13,Smartphone,6.1,128,pink,529.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091433.html,new,2024-04-07,2091433.0,2,5.0,
3,samsung,galaxy a55 5g,Smartphone,6.6,128,unknown,429.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237050.html,new,2024-04-07,2237050.0,0,0.0,4.0
3,xiaomi,redmi 9a,Smartphone,6.53,32,unknown,79.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-9a-2012628.html,new,2024-04-07,2012628.0,17,4.2,4.0
3,apple,iphone 13,Smartphone,6.1,256,unknown,629.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091353.html,new,2024-04-07,2091353.0,6,4.8,4.0
3,apple,iphone 15 pro max,Smartphone,6.7,512,black,1375.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203431.html,new,2024-04-07,2203431.0,5,5.0,7.0
3,apple,iphone 15 pro max,Smartphone,6.7,512,white,1329.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203432.html,new,2024-04-07,2203432.0,0,0.0,
3,samsung,galaxy s23,Smartphone,6.1,256,green,694.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167361.html,new,2024-04-07,2167361.0,273,4.4,2.0
3,samsung,galaxy a55 5g,Smartphone,6.6,256,blue,479.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237093.html,new,2024-04-07,2237093.0,0,0.0,6.0
3,samsung,galaxy z flip5,Smartphone,6.7,512,unknown,1118.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip5-2193033.html,new,2024-04-07,2193033.0,56,4.6,7.0
3,samsung,galaxy a34 5g,Smartphone,6.6,128,unknown,320.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a34-5g-2173976.html,new,2024-04-07,,0,0.0,
3,xiaomi,redmi note 13 5g,Smartphone,6.67,256,white,254.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-5g-2220893.html,new,2024-04-07,2220893.0,1,5.0,7.0
3,apple,iphone 15,Smartphone,6.1,256,green,819.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203381.html,new,2024-04-07,2203381.0,1,5.0,2.0
3,apple,iphone 14 plus,Smartphone,6.7,128,unknown,749.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151041.html,new,2024-04-07,2151041.0,5,5.0,7.0
3,apple,iphone 14,Smartphone,6.1,256,blue,749.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151034.html,new,2024-04-07,2151034.0,7,5.0,2.0
3,nothing,phone (2),Smartphone,6.7,256,unknown,549.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2-2189932.html,new,2024-04-07,2189932.0,3,4.3,2.0
3,apple,iphone 15 pro,Smartphone,6.1,128,blue,920.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203407.html,new,2024-04-07,2203407.0,18,4.9,2.0
3,apple,iphone 15 pro,Smartphone,6.1,512,white,1232.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203414.html,new,2024-04-07,2203414.0,0,0.0,
3,samsung,galaxy s24+,Smartphone,6.7,256,black,915.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220719.html,new,2024-04-07,2220719.0,184,4.5,
3,samsung,galaxy s24 ultra,Smartphone,6.8,512,black,1399.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220733.html,new,2024-04-07,2220733.0,787,4.7,6.0
3,samsung,galaxy a55 5g,Smartphone,6.6,256,unknown,479.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237094.html,new,2024-04-07,2237094.0,0,0.0,6.0
3,samsung,galaxy s24 ultra,Smartphone,6.8,256,black,1299.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220737.html,new,2024-04-07,2220737.0,787,4.7,6.0
3,samsung,galaxy s23 ultra,Smartphone,6.8,256,black,899.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167385.html,new,2024-04-07,2167385.0,607,4.6,
3,xiaomi,redmi 13c,Smartphone,6.74,128,green,133.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219844.html,new,2024-04-07,2219844.0,1,4.0,7.0
3,samsung,galaxy a54 5g,Smartphone,6.4,128,unknown,299.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173981.html,new,2024-04-07,,0,0.0,
3,samsung,galaxy a25 5g,Smartphone,6.5,128,black,259.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a25-5g-2216505.html,new,2024-04-07,2216505.0,5,4.6,2.0
4,nothing,phone (2),Smartphone,6.7,256,weiss,549.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2-2189933.html,new,2024-04-07,2189933.0,1,5.0,4.0
4,xiaomi,redmi note 13 4g,Smartphone,6.67,128,black,179.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220885.html,new,2024-04-07,2220885.0,7,3.7,2.0
4,apple,iphone 15 plus,Smartphone,6.7,128,black,829.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203388.html,new,2024-04-07,2203388.0,4,3.3,2.0
4,apple,iphone 15 pro,Smartphone,6.1,512,blue,1236.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203417.html,new,2024-04-07,2203417.0,4,4.8,
4,apple,iphone 12,Smartphone,6.1,64,black,479.0,https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028624.html,new,2024-04-07,2028624.0,19,4.5,2.0
4,samsung,galaxy a55 5g,Smartphone,6.6,128,blue,429.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237049.html,new,2024-04-07,2237049.0,0,0.0,10.0
4,xiaomi,redmi 13c,Smartphone,6.74,256,black,152.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219846.html,new,2024-04-07,2219846.0,0,0.0,2.0
4,apple,iphone 14 plus,Smartphone,6.7,256,unknown,829.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151046.html,new,2024-04-07,2151046.0,3,5.0,7.0
4,xiaomi,redmi a2,Smartphone,6.52,32,unknown,88.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a2-2178002.html,new,2024-04-07,2178002.0,10,4.5,
4,motorola,moto g13,Smartphone,6.5,128,unknown,129.0,https://www.mediamarkt.ch/de/product/_motorola-moto-g13-2180586.html,new,2024-04-07,2180586.0,15,5.0,4.0
4,apple,iphone 14,Smartphone,6.1,256,unknown,743.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151030.html,new,2024-04-07,2151030.0,5,5.0,2.0
4,xiaomi,redmi note 13 pro+ 5g,Smartphone,6.67,256,black,381.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220882.html,new,2024-04-07,2220882.0,0,0.0,2.0
